,p53,TAD,SAM1,SAM2,TET,
Priapulus_6507,1,1,0,0,1,Priapulus_6507
Priapulus_6504,1,1,0,0,1,Priapulus_6504
Priapulus_6510,1,0,0,0,1,Priapulus_6510
Priapulus_6509,1,0,0,0,1,Priapulus_6509
Priapulus_6508,1,0,0,0,1,Priapulus_6508
Homo_24316,1,0,0,1,1,Homo_24316
Homo_24317,1,0,0,0,1,Homo_24317
Mus_57249,1,0,0,0,1,Mus_57249
Homo_24323,1,0,0,0,1,Homo_24323
Danio_2448,1,0,1,1,1,Danio_2448
Danio_2447,1,0,0,0,1,Danio_2447
Pelodiscus_4439,1,0,0,1,1,Pelodiscus_4439
Homo_93644,1,0,0,1,1,Homo_93644
Homo_93648,1,0,0,1,1,Homo_93648
Homo_93647,1,0,0,0,1,Homo_93647
Homo_93649,1,0,0,0,1,Homo_93649
Homo_93650,1,0,0,0,1,Homo_93650
Mus_5390,1,0,0,0,1,Mus_5390
Mus_5391,1,0,0,1,1,Mus_5391
Mus_5389,1,0,0,0,0,Mus_5389
Mus_5393,1,0,0,1,1,Mus_5393
Mus_5392,1,0,0,0,1,Mus_5392
Petromyzon_3724,1,0,0,0,0,Petromyzon_3724
Petromyzon_880,1,0,0,1,1,Petromyzon_880
Pelodiscus_14920,1,1,0,0,1,Pelodiscus_14920
Danio_6570,1,0,0,0,0,Danio_6570
Danio_41661,1,0,0,0,1,Danio_41661
Danio_6572,1,0,0,0,1,Danio_6572
Mus_15616,1,1,0,0,1,Mus_15616
Mus_15615,1,1,0,0,1,Mus_15615
Homo_70007,1,1,0,0,1,Homo_70007
Homo_70019,1,1,0,0,0,Homo_70019
Homo_70018,1,1,0,0,0,Homo_70018
Homo_70028,1,1,0,0,0,Homo_70028
Homo_70006,1,1,0,0,0,Homo_70006
Homo_70026,1,1,0,0,0,Homo_70026
Homo_70008,1,1,0,0,0,Homo_70008
Homo_70016,1,1,0,0,1,Homo_70016
Homo_70031,1,1,0,0,1,Homo_70031
Danio_2398,1,0,0,1,1,Danio_2398
Danio_2400,1,0,0,1,1,Danio_2400
Danio_2402,1,0,0,0,1,Danio_2402
Danio_2403,1,0,0,0,1,Danio_2403
Saccoglossus_kowalevskii_10399,1,0,1,1,1,Saccoglossus_kowalevskii_10399
Saccoglossus_kowalevskii_4608,1,1,1,1,1,Saccoglossus_kowalevskii_4608
Helobdella_1302,1,0,0,0,1,Helobdella_1302
Lingula_29461,1,1,1,1,1,Lingula_29461
Capitella_11479,1,0,1,1,1,Capitella_11479
Octopus_16484,1,0,0,0,1,Octopus_16484
Mya_3436,1,1,0,0,1,Mya_3436
Lottia_15996,1,1,1,1,1,Lottia_15996
Crassostrea_14835,1,1,1,1,1,Crassostrea_14835
Strongylocentrotus_8950,1,0,0,0,0,Strongylocentrotus_8950
Ciona_4179,1,0,0,0,1,Ciona_4179
Ciona_14149,1,0,0,0,1,Ciona_14149
Ciona_14150,1,0,0,0,1,Ciona_14150
Stegodyphus_17929,1,0,0,0,0,Stegodyphus_17929
Stegodyphus_2072,1,0,0,0,0,Stegodyphus_2072
Stegodyphus_8700,1,0,0,0,0,Stegodyphus_8700
Stegodyphus_17126,1,0,0,0,0,Stegodyphus_17126
Stegodyphus_3310,1,0,0,0,0,Stegodyphus_3310
Stegodyphus_11160,1,0,0,0,0,Stegodyphus_11160
Helobdella_15628,1,0,0,0,0,Helobdella_15628
Rhodnius_12226,1,0,0,0,0,Rhodnius_12226
Caenorhabditis_CAA99857_2,1,0,0,0,0,Caenorhabditis_CAA99857_2
Drosophila_7660,1,0,0,0,0,Drosophila_7660
Drosophila_7661,1,0,0,0,0,Drosophila_7661
Drosophila_7659,1,0,0,0,0,Drosophila_7659
Bombyx_3449,1,0,0,0,0,Bombyx_3449
Nasonia_2969,1,0,0,0,0,Nasonia_2969
Tribolium_12708,1,0,0,0,0,Tribolium_12708
Tribolium_11489,1,0,0,0,0,Tribolium_11489
Daphnia_6326,1,0,0,0,0,Daphnia_6326
Mus_57247,1,0,0,1,1,Mus_57247
Homo_24321,1,0,0,1,1,Homo_24321
Pelodiscus_18051,1,0,0,0,1,Pelodiscus_18051
Mus_57250,1,0,0,1,1,Mus_57250
Homo_24326,1,0,0,1,1,Homo_24326